date,average_difficulty,tx_count,tx_volume,heuristical_volume,median_tx_value,active_addresses,fees,median_fee,payment_count,reward,block_size,block_count
2014-01-19,0.274700923554,1151,121037273378821,95911559697267,30000100000,3691,62800000,0,680,181210462800000,1272622,4138
2014-01-20,3.60433708939,4239,99127232933714,25391469484668,20426821728,4476,169350000,0,4215,20135869350000,1189408,765
2014-01-21,4.71770142771,2118,7318400472507,2845246033279,2759571708,2262,179750000,100000,2118,1684179750000,631205,454
2014-01-22,6.10650391353,267,896376701148,752167758049,1195692724,338,22600000,100000,266,207922600000,94905,99
2014-01-23,6.10650391353,188,485815513750,402890363347,1357973974,238,15800000,100000,187,872915800000,74541,79
2014-01-24,6.10650391353,212,20883824144642,20786335186824,2100100000,352,8300000,0,226,1037008300000,84481,85
2014-01-25,6.10650391353,235,1815313058133,1715738794835,2100400000,329,8300000,0,234,878408300000,97265,72
2014-01-26,6.10650391353,260,20590184747192,19885465677689,7486823955,319,16800000,100000,260,780816800000,83657,64
2014-01-27,1.56864320715,607,6473139190041,4026514237675,10938790233,710,29800000,0,607,4700029800000,242059,327
2014-01-28,1.2201358272,1290,18069872499017,12670169644975,11366630195,1452,56300000,0,1283,11404856300000,555328,781
2014-01-29,1.75465005785,861,9388932749049,6169323905871,10915387999,984,40500000,0,861,6139640500000,337240,428
2014-01-30,1.63087770709,1633,30731511637390,24453317307107,11534151276,1783,83350000,0,1632,12395683350000,677504,859
2014-01-31,3.16947263681,860,8116213253223,4959921749109,8928297187,971,50300000,100000,860,4692050300000,310053,345
2014-02-01,2.3511484618,1037,22287244757804,18582735961619,10585832898,1179,52600000,100000,1037,7837252600000,421177,558
2014-02-02,2.4593751406,1214,23110685719419,18633323240830,9671171245,1540,65100000,100000,1214,11460065100000,520902,821
2014-02-03,4.4585356384,1079,44971243473049,41550550441096,11531900739,1209,63000000,0,1079,10045163000000,637790,776
2014-02-04,5.98929705854,1050,22735678580775,18750977862085,10818366177,1433,53200000,0,1050,7909653200000,502434,644
2014-02-05,6.88633340778,1690,58442671246350,49578224830718,11033681133,1912,63800000,0,1684,9741763800000,705684,817
2014-02-06,13.0919073079,2277,41684779859083,30571545961169,8288317598,2541,118200000,0,2269,8004118200000,868338,820
2014-02-07,17.2681276688,2174,27255970067210,19455100301457,5427997086,2581,159900000,100000,2165,4204559900000,779152,493
2014-02-08,18.152618769,3110,191605231555368,139033422863114,6465975290,4760,215800691,100000,3094,7878215800691,1313248,951
2014-02-09,49.5712549657,1318,44640352703906,39239092965072,4300306544,1865,118200000,100000,1297,3224118200000,766208,728
2014-02-10,94.4437462188,321,11924890849613,11187638718644,2395815082,598,48200000,100000,303,240048200000,307518,96
2014-02-11,37.7281167036,2016,44844607426039,31000487926133,2384679328,2576,167606502,100000,2004,3216067606502,964971,613
2014-02-12,34.3413981951,2698,51617003063823,43138582023838,3141954014,3429,230654024,100000,2684,3223730654024,939719,567
2014-02-13,31.2298888157,3421,40275534267457,29048509947119,3482818237,4237,335501000,100000,3407,3385235501000,1104139,575
2014-02-14,31.4530138956,3663,24853509894316,14696130115599,3505374197,4558,373903516,100000,3644,3323873903516,1241911,565
2014-02-15,38.0124093595,3236,23723230946589,16605324884094,3350991914,3916,523855816,100000,3206,3094923855816,1337727,596
2014-02-16,60.0304840004,2766,25373695987871,15053862783873,2401050000,3858,247301000,100000,2746,2071547301000,1115416,588
2014-02-17,87.5899947219,2631,80228816471507,67134730523133,1920584259,3608,282708248,100000,2571,1594282708248,1755856,599
2014-02-18,137.328598113,2551,71742079892490,60330290348387,1846478976,3724,236351030,100000,2487,1355036351030,1354561,579
2014-02-19,129.011878478,2354,19201031849525,16641123950927,1674555710,3263,201676346,100000,2315,1364901676346,908175,577
2014-02-20,149.531457367,2058,27208730171047,24578758275577,1763868425,3006,196045798,100000,2022,1365096045798,856185,585
2014-02-21,185.359284584,2086,11137849352275,9583966719487,1661151016,3175,172738690,100000,2046,1314672738690,952680,581
2014-02-22,226.250231567,2308,33617489468103,31631041459762,1516226180,3435,172937083,100000,2256,1263972937083,898532,575
2014-02-23,189.637526272,2275,37108583628436,34513644078620,1685160512,3737,184767328,100000,2211,1284684767328,1200378,565
2014-02-24,215.154370415,2327,105814367501018,82757899614370,1996762874,4079,335293013,100000,2219,1290735293013,1448743,583
2014-02-25,182.643547772,2203,91911237104294,58279674629321,1699332482,3498,177520960,100000,2126,1268477520960,1028023,557
2014-02-26,167.891674766,1991,112447522767962,63812477816058,1680594822,3101,251096324,100000,1943,1285351096324,953617,556
2014-02-27,138.422505216,1748,57347293144019,37350250056565,1681066622,2742,210231798,100000,1704,1373710231798,770854,581
2014-02-28,145.006994461,1697,32776781749623,31060516202674,1667308801,2706,151229179,100000,1662,1353151229179,926064,579
2014-03-01,189.581721695,2202,73531245438510,55592400888034,1856689998,3590,261194146,100000,2133,1322561194146,1280647,588
2014-03-02,258.850429991,2373,117673135832857,48675265498896,1581824855,3770,272228333,100000,2346,1213372228333,1299194,566
2014-03-03,276.655250391,2641,30611141821040,27728152688799,1600022185,4247,297333854,100000,2573,1241197333854,1400701,585
2014-03-04,250.684211575,2250,25033944072514,21250790634903,1520099317,3669,305792366,100000,2247,1246005792366,1250881,575
2014-03-05,278.858864511,2319,65915582702828,45519868635788,1597066793,3694,250435306,100000,2338,1196250435306,1351719,563
2014-03-06,262.767493448,2342,64637400418387,23329922973027,1560477974,3635,278243028,100000,2316,1237678243028,1025556,576
2014-03-07,263.21482758,2192,61530461115440,39653539283521,1467283469,3411,335926835,100000,2261,1211535926835,1018578,564
2014-03-08,281.527891954,2169,24131666304405,21711847009915,1573317710,3441,222247301,100000,2145,1229122247301,1065842,582
2014-03-09,309.735511056,2155,8472558070395,6442201198486,1382598965,3498,221135685,100000,2141,1214021135685,1072011,584
2014-03-10,334.730208782,1964,24822370698865,23185036001100,1527834079,3158,182931886,100000,1998,1173682931886,1011261,570
2014-03-11,293.929571711,2194,25830076849978,23836054582965,1445914335,3444,222846024,100000,2206,1189222846024,1056566,566
2014-03-12,340.071504459,2117,9809181108669,8402983363618,1291710525,3434,231378429,100000,2195,1187431378429,1119413,579
2014-03-13,293.28744858,2135,11775248844131,10604548050249,1320164176,3442,205663358,100000,2184,1242905663358,1037388,591
2014-03-14,291.358632566,2392,9172125225277,7553552550513,1350192942,3695,229987776,100000,2344,1193329987776,1129213,568
2014-03-15,293.202281236,1846,5228551840438,4200871231611,1351806072,3052,197059852,100000,1805,1190197059852,1005001,566
2014-03-16,285.781358576,1951,29958791282236,13355115993007,1485181392,3212,213373561,100000,1909,1222913373561,1072794,578
2014-03-17,299.014854056,1845,23450821485714,17138039504154,1471472802,3020,232474566,100000,1798,1195032474566,985301,570
2014-03-18,297.479179983,1936,20677091094101,14821635726538,1471393591,3065,179335379,100000,1888,1203479335379,1043850,574
2014-03-19,314.660963771,1891,21355276739573,16878776238603,1401000037,3016,169461168,100000,1850,1184269461168,1084036,571
2014-03-20,324.071428335,1757,45640440149897,36981487921364,1426871943,2879,141302348,100000,1703,1170441302348,923424,568
2014-03-21,305.70361493,1774,7471219964059,6407298001696,1455365880,2818,151820531,100000,1732,1201151820531,957385,576
2014-03-22,299.7529175,1820,19301609379003,17092740826945,1380066000,2886,158883313,100000,1787,1205158883313,942981,576
2014-03-23,333.143502023,1852,10072043464895,8501828509115,1430569449,3007,185235113,100000,1807,1180885235113,1068873,577
2014-03-24,368.682949232,2212,14562965940108,12734929982813,1491698231,3774,264496362,100000,2155,1146864496362,1611240,574
2014-03-25,402.001463869,2082,8352072755757,7128715757098,1297685340,3483,202580276,100000,2032,1121102580276,1201657,574
2014-03-26,450.322259856,1959,8105779341973,7162490583679,1296324881,3315,203186693,100000,1916,1078403186693,1135692,570
2014-03-27,418.0201546,1874,8609732692043,7345211660358,1337501839,3239,168482459,100000,1940,1109268482459,1127271,573
2014-03-28,445.594079641,1670,8263821263280,7502002509068,1256201936,2899,153328678,100000,1821,1095853328678,938486,578
2014-03-29,462.656549294,1384,6101732828692,5479381864756,1274040180,2515,139914609,100000,1685,1075439914609,883852,574
2014-03-30,491.334152049,1525,11157221537269,10135658174069,1226959251,3035,156430547,100000,2156,1051956430547,927569,570
2014-03-31,449.245992103,1583,6165990526237,5362723752220,1184416632,2841,155831983,100000,1923,1085355831983,959521,574
2014-04-01,517.374359082,1670,11733365264613,10979682807735,1173761963,2943,171763440,100000,1969,1045271763440,918656,577
2014-04-02,501.574798854,1520,8446655448121,7048627285976,1204397838,2806,165569262,100000,1776,1040365569262,1005776,568
2014-04-03,514.82759232,1475,4829429399982,4303063059377,1211552744,2653,136203981,100000,1713,1033836203981,1027521,570
2014-04-04,441.856170658,1526,5390672565784,4275459675374,1191183840,2692,148732645,100000,1866,1093348732645,919004,574
2014-04-05,488.384873337,1410,5762627146949,4924778629093,1414313870,2621,126554820,100000,1774,1060426554820,896744,575
2014-04-06,455.276734118,1503,7973504857714,7308751360263,1229407707,2691,145106149,100000,1812,1057145106149,968065,560
2014-04-07,417.651264151,1500,11792077226289,10776853917311,1357298877,2727,125494793,100000,1865,1128625494793,859591,585
2014-04-08,517.658869034,1527,13086600567341,10358449439649,1250408881,2661,165406015,100000,1866,1025765406015,888208,567
